Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
11,The London (feat. J. Cole & Travis Scott),Young Thug,132055,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx,2019,6,6,au,0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,200107,4
12,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,128544,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,6,6,au,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
13,Never Really Over,Katy Perry,128311,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019,6,6,au,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523,4
14,Talk (feat. Disclosure),Khalid,123678,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019,6,6,au,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,197573,4
15,Rescue Me,OneRepublic,123251,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,2019,6,6,au,0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,158900,4
16,Sucker,Jonas Brothers,119284,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019,6,6,au,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181040,4
17,Truth Hurts,Lizzo,109881,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019,6,6,au,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
18,Johnny Run Away,Tones and I,109330,https://open.spotify.com/track/1oolfqNpJhtO9KquFkHOX2,2019,6,6,au,0.817,0.375,2,-10.21,1,0.151,0.734,0.00831,0.105,0.497,92.476,193451,4
19,Mother's Daughter,Miley Cyrus,106791,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,2019,6,6,au,0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,219080,4
20,Old Town Road,Lil Nas X,104470,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,2019,6,6,au,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,113013,4
21,Here With Me,Marshmello,102428,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019,6,6,au,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,156347,4
22,Piece Of Your Heart,MEDUZA,101544,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019,6,6,au,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,4
23,Wow.,Post Malone,94929,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,6,6,au,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
24,Vossi Bop,Stormzy,92823,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr,2019,6,6,au,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,196267,4
25,Nightmare,Halsey,92419,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc,2019,6,6,au,0.611,0.622,9,-5.075,0,0.0734,0.0188,0,0.359,0.538,146.11,231999,4
26,Don't Call Me Up,Mabel,91961,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019,6,6,au,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,4
27,Call You Mine,The Chainsmokers,90585,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR,2019,6,6,au,0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653,4
28,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,90029,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw,2019,6,6,au,0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,193040,4
29,Painkiller,Ruel,89128,https://open.spotify.com/track/1abFkY2jm6KDFMZ7RD9YJh,2019,6,6,au,0.675,0.414,5,-6.508,1,0.0569,0.105,0,0.192,0.439,128.927,213598,4
30,Eastside (with Halsey & Khalid),benny blanco,87965,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,6,6,au,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
31,Woke Up Late (feat. Hailee Steinfeld),Drax Project,86462,https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6,2019,6,6,au,0.698,0.66,2,-5.429,0,0.083,0.043,0,0.186,0.351,119.214,181859,4
32,when the party's over,Billie Eilish,85365,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2019,6,6,au,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
33,Exit Sign,Hilltop Hoods,83964,https://open.spotify.com/track/4c2cdWv3GLKoP12tY0OzZl,2019,6,6,au,0.698,0.789,11,-5.736,1,0.203,0.126,0,0.0768,0.814,99.83,223387,4
34,Find U Again (feat. Camila Cabello),Mark Ronson,82413,https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX,2019,6,6,au,0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,176417,4
35,bury a friend,Billie Eilish,81650,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,2019,6,6,au,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
36,i'm so tired...,Lauv,78244,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,6,6,au,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583,4
37,Paradise,Bazzi,78117,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG,2019,6,6,au,0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,169038,4
38,So Am I,Ava Max,77875,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,2019,6,6,au,0.682,0.656,6,-4.67,1,0.0435,0.0737,0,0.353,0.607,130.089,183027,4
39,Shallow,Lady Gaga,77669,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,6,6,au,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
40,Better,Khalid,77646,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,6,6,au,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4
41,Homicide (feat. Eminem),Logic,77391,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd,2019,6,6,au,0.694,0.759,10,-5.667,0,0.398,0.137,0,0.167,0.77,140.055,245387,4
42,"Go Loko (feat. Tyga, Jon Z)",YG,75819,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,2019,6,6,au,0.88,0.67,2,-5.177,1,0.0468,0.325,4.17e-06,0.0662,0.131,101.008,299227,4
43,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,75295,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM,2019,6,6,au,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805,4
44,Just Us (feat. SZA),DJ Khaled,74008,https://open.spotify.com/track/0BnTBAGmr9FtYwkZrwKhwS,2019,6,6,au,0.639,0.859,9,-2.758,0,0.147,0.135,0,0.129,0.566,93.132,221379,4
45,7 rings,Ariana Grande,73963,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019,6,6,au,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,4
46,lovely (with Khalid),Billie Eilish,73383,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2019,6,6,au,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
