Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
38,lovely,Billie Eilish,15518,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,2,27,nz,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
39,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,15241,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,2,27,nz,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,217467,4
40,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,15205,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,2,27,nz,0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,182623,4
41,Better Now,Post Malone,15162,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,2,27,nz,0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,231267,4
42,ZEZE,Kodak Black,15115,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,2,27,nz,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,228760,4
43,Pure Water (with Migos),Mustard,14953,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019,2,27,nz,0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,194520,4
44,Lost In Japan,Shawn Mendes,14882,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019,2,27,nz,0.713,0.738,10,-6.784,1,0.374,0.255,0,0.106,0.425,105.027,201200,4
45,Bohemian Rhapsody - Remastered 2011,Queen,14727,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,2,27,nz,0.397,0.396,3,-9.91,1,0.05,0.254,0,0.268,0.227,142.913,354320,4
46,Mo Bamba,Sheck Wes,14434,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,2,27,nz,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
47,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,14143,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,2019,2,27,nz,0.464,0.852,11,-3.804,1,0.067,0.0116,0,0.108,0.233,160.075,239507,4
48,imagine,Ariana Grande,14136,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow,2019,2,27,nz,0.729,0.475,8,-4.985,1,0.0364,0.378,0,0.12,0.371,62.52,212267,3
49,Look Back at It,A Boogie Wit da Hoodie,13991,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,2,27,nz,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,179449,4
50,365,Zedd,13487,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d,2019,2,27,nz,0.745,0.693,2,-5.479,0,0.034,0.339,0,0.123,0.248,98.039,181900,4
51,2002,Anne-Marie,12797,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,2,27,nz,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186987,4
